PersonNr,Lan,Kommun,Forsamling,Distriktskod,FastLopNr,FastBet,Barn0_3,Barn4_6,Barn7_10,Barn11_15,Barn16_17,Barn18plus,Barn18_19,Barn20plus,FamId,Sun2000niva_old,SUN2000niva,SUN2000Inr,SUN2000Grp,CfarNr_LISA,ArbstId,AstNr_LISA,AstKommun,AstLan,KU1PeOrgNr,KU1CfarNr,KU1AstNr,KU1AstKommun,KU1AstLan,KU1YrkStalln,KU2PeOrgNr,KU2CfarNr,KU2AstNr,KU2AstKommun,KU2AstLan,KU2YrkStalln,KU3PeOrgNr,KU3CfarNr,KU3AstNr,KU3AstKommun,KU3AstLan,KU3YrkStalln,FodelseAr,DodDatum,Alder,Kon,InvUtvLand,InvUtvManad,PostTyp,FodelseLandnamn,FodelseTidMor,FodelseLandnamnMor,FodelseTidFar,FodelseLandnamnFar,UtlSvBakg,SyssStat,ArbTid,YrkStalln,KU1lnk,KU2lnk,KU3lnk,Raks_SummaInk,Raks_Huvudanknytning,Raks_EtablGrad,Raks_Forvink
19650507-9871,Kalmar county,Emmaboda,086203,105048,311823145,Emmaboda Långasjö 97581416,0,0,0,0,0,0,0,0,19481020-1445,38922,527,143b,Fritidspedagogutbildning,641802024,64180202468993Nybro410709-2312,68993,Nybro,Kalmar county,410709-2312,641802024,68993,Nybro,Kalmar county,1,650507-9871,872522687,00640,Högsby,Kalmar county,1,-,-,-,0000,00,-,1965,,25,1,Poland,2001-05,Inv,Pakistan,1982-01-02,USA,1979-01-02,India,11,1,3,2,724,701,0,2054,2,1,0
19570315-1474,Västmanland county,Fagersta,198201,214059,586821655,Fagersta Fagersta 197702130,0,0,0,0,0,0,0,0,19570315-1474,18501,537,149a,Speciallärar- och specialpedagogutbildning,905383818,90538381897253Västerås730824-5250,97253,Västerås,Västmanland county,730824-5250,905383818,97253,Västerås,Västmanland county,1,730107-9915,550108695,46217,Köping,Västmanland county,1,-,-,-,0000,00,-,1957,,33,1,Iran,1975-06,Inv,UK,1982-01-02,Syria,1979-01-02,Romania,11,1,5,2,1207,808,0,3531,1,0,0
19561222-9811,Västerbotten county,Bjurholm,240301,321048,839761690,Bjurholm Bjurholm 341107366,0,0,1,0,0,1,0,0,19561222-9811,24875,3,999,"Gymnasial utbildning, okänd inriktning",254387504,25438750422797Sorsele561222-9811,22797,Sorsele,Västerbotten county,561222-9811,254387504,22797,Sorsele,Västerbotten county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1956,,34,1,Italy,1976-06,Inv,Italy,1982-01-02,Pakistan,1979-01-02,India,11,1,5,1,1384,0,0,2079,6,NULL,0
19710320-1719,Västerbotten county,Bjurholm,240301,321048,839761690,Bjurholm Bjurholm 341107366,0,0,0,0,0,0,0,0,19561222-9811,97230,633,221,Teologisk eftergymnasial utbildning (minst 3 år),628631388,62863138885877Malå510104-2500,85877,Malå,Västerbotten county,510104-2500,628631388,85877,Malå,Västerbotten county,1,710320-1719,866072527,77808,Vindeln,Västerbotten county,1,-,-,-,0000,00,-,1971,,19,1,Russia,2016-01,Inv,USA,1982-01-02,India,1979-01-02,Italy,11,1,4,4,1203,731,0,5915,6,NULL,0
19601123-4363,Västerbotten county,Bjurholm,240301,321048,839761690,Bjurholm Bjurholm 341107366,0,0,1,0,0,1,0,0,19561222-9811,98535,547,529x,Övrig civilingenjörsutbildning,762476445,76247644556544Vindeln690123-3396,56544,Vindeln,Västerbotten county,690123-3396,762476445,56544,Vindeln,Västerbotten county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1960,,30,2,Iran,1987-01,Inv,Netherlands,1982-01-02,Iran,1979-01-02,Denmark,11,1,5,2,1316,0,0,2720,2,0,0
19470119-6863,Jönköping county,Aneby,060402,105256,981849343,Aneby Aneby 152855943,0,0,0,0,0,0,0,0,19470119-6863,30862,6,481a,Programmerar- och systemerarutbildning (eftergymnasial),-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1947,,43,2,Iraq,1993-11,Utv,Brazil,1982-01-02,Russia,1979-01-02,Netherlands,11,6, , ,0,0,0,1510,5,NULL,0
19480418-8893,Jönköping county,Aneby,060402,105256,981849343,Aneby Aneby 152855943,0,0,0,0,0,0,0,0,19470119-6863,81188,6,581d,Arkitekt- och landskapsarkitektutbildning,404135741,40413574127080Sävsjö610503-3683,27080,Sävsjö,Jönköping county,610503-3683,404135741,27080,Sävsjö,Jönköping county,1,260721-1763,860646400,11882,Mullsjö,Jönköping county,1,-,-,-,0000,00,-,1948,,42,1,Afghanistan,1961-09,Utv,USA,1982-01-02,Brazil,1979-01-02,Iraq,11,1,4,4,3152,1192,0,5721,5,NULL,0
19490217-6437,Kronoberg county,Uppvidinge,076004,105142,760952421,Uppvidinge Älghult 163316826,0,0,0,0,0,0,0,0,19490217-6437,61025,557,145,"Ämneslärarutbildning, allmänna ämnen",612136559,61213655919985Tingsryd670307-6414,19985,Tingsryd,Kronoberg county,670307-6414,612136559,19985,Tingsryd,Kronoberg county,1,580916-4132,984674695,13554,Ljungby,Kronoberg county,1,-,-,-,0000,00,-,1949,,41,1,Italy,1972-05,Inv,Syria,1982-01-02,Russia,1979-01-02,Denmark,11,1,5,1,1475,843,0,2425,6,NULL,0
19470513-2693,Kronoberg county,Ljungby,078117,105074,796568083,Ljungby Lidhult 243030489,0,0,0,0,0,0,0,0,19470513-2693,37862,633,311,Högskoleutbildning i psykologi och psykoterapi (minst 3 år),790250127,79025012778461Alvesta430518-0029,78461,Alvesta,Kronoberg county,430518-0029,790250127,78461,Alvesta,Kronoberg county,1,630116-9786,140728040,89071,Uppvidinge,Kronoberg county,1,-,-,-,0000,00,-,1947,,43,1,UK,2011-05,Utv,Pakistan,1982-01-02,Romania,1979-01-02,Romania,11,5,5,2,1072,547,0,2187,4,0,0
19440705-7664,Södermanland county,Katrineholm,048301,212019,239202902,Katrineholm Strångsjö 219864041,0,0,0,0,0,0,0,0,19440705-7664,37231,611,312,Samhälls- och beteendevetenskaplig högskoleutbildning (minst 3 år),223748590,22374859003146Nyköping350906-1499,03146,Nyköping,Södermanland county,350906-1499,223748590,03146,Nyköping,Södermanland county,1,750609-2492,894763592,07173,Gnesta,Södermanland county,1,-,-,-,0000,00,-,1944,,46,2,Italy,2000-07,Inv,Russia,1982-01-02,Pakistan,1979-01-02,China,11,5,4,0,1560,688,0,2248,7,NULL,0
19371115-4412,Gävleborg county,Sandviken,218103,316012,042504061,Sandviken Hillsta och Se 293283779,0,0,0,0,0,0,0,0,19371115-4412,69278,559,345,"Högskoleutbildning inom organisation, administration och förvaltning (minst 3 år)",607719340,60771934086569Hofors740801-1218,86569,Hofors,Gävleborg county,740801-1218,607719340,86569,Hofors,Gävleborg county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1937,,53,1,Pakistan,1966-04,Utv,UK,1982-01-02,USA,1979-01-02,Afghanistan,11,5,5,0,1122,0,0,2143,7,NULL,0
19400628-5202,Gävleborg county,Sandviken,218103,316012,042504061,Sandviken Hillsta och Se 293283779,0,0,0,0,0,0,0,0,19371115-4412,51272,3,4,"Yrkesinriktad gymnasieutbildning inom naturvetenskap, matematik och IKT",312747579,31274757918611Söderhamn651207-3175,18611,Söderhamn,Gävleborg county,651207-3175,312747579,18611,Söderhamn,Gävleborg county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1940,,50,2,China,2016-12,Inv,Turkey,1982-01-02,UK,1979-01-02,Netherlands,11,1,3,2,2184,0,0,2184,2,0,0
19740819-9641,Västmanland county,Arboga,198401,214009,521849006,Arboga Medåker 323213102,0,0,0,0,0,0,0,0,19740819-9641,19525,413,524c,"Ingenjörsutbildning inom kemi- och bioteknik, material- och geoteknik (eftergymnasial)",-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1974,,16,2,Turkey,2002-11,Inv,Turkey,1982-01-02,Iran,1979-01-02,Iraq,11,6, , ,0,0,0,2797,5,NULL,0
19280923-2952,Västernorrland county,Sundsvall,228112,320018,781541968,Sundsvall Sundsvall 194420860,0,0,0,0,0,0,0,0,19280923-2952,14139,5,762d,Socionomutbildning,733269871,73326987138854Ånge600222-7025,38854,Ånge,Västernorrland county,600222-7025,733269871,38854,Ånge,Västernorrland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1928,,62,1,Denmark,1957-06,Inv,Romania,1982-01-02,Denmark,1979-01-02,Italy,11,1,9,2,1948,0,0,1948,2,1,0
19310724-0568,Halland county,Halmstad,138009,104017,830041928,Halmstad Halmstad 292375395,3,0,0,1,0,0,0,0,19310724-0568,75264,5,725d,Biomedicinsk analytikerutbildning,484760272,48476027282798Laholm460306-9047,82798,Laholm,Halland county,460306-9047,484760272,82798,Laholm,Halland county,1,401113-0206,734335953,71666,Kungsbacka,Halland county,1,-,-,-,0000,00,-,1931,,59,2,Brazil,1941-03,Utv,Finland,1982-01-02,Germany,1979-01-02,Finland,11,1,5,2,1538,421,0,2127,1,0,0
19381231-2656,Halland county,Halmstad,138009,104017,830041928,Halmstad Halmstad 292375395,3,0,0,1,0,0,0,0,19310724-0568,22158,327,543e,Gymnasieutbildning inom processteknik,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1938,,52,1,Iran,1943-07,Utv,Afghanistan,1982-01-02,India,1979-01-02,Afghanistan,11,6, , ,0,0,0,1866,5,NULL,0
19470522-2169,Västmanland county,Hallstahammar,196101,214021,941806736,Hallstahammar Södra Hallstahammar 308138553,0,0,0,0,0,0,0,0,19470522-2169,35435,324,543c,Gymnasieutbildning inom träteknik,855007375,85500737593071Norberg621216-1826,93071,Norberg,Västmanland county,621216-1826,855007375,93071,Norberg,Västmanland county,1,540118-3764,234497231,04054,Arboga,Västmanland county,1,-,-,-,0000,00,-,1947,,43,2,UK,1977-07,Inv,UK,1982-01-02,Russia,1979-01-02,Finland,11,1,5,2,1306,362,0,9004,3,1,0
19601005-0900,Örebro county,Askersund,188201,211002,170433409,Askersund Zinkgruvan 222152560,0,0,0,0,0,0,0,0,19601005-0900,36510,537,146b,Yrkeslärarutbildning,338065677,33806567774461Örebro540519-2464,74461,Örebro,Örebro county,540519-2464,338065677,74461,Örebro,Örebro county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1960,,30,2,Russia,1989-11,Inv,Iran,1982-01-02,Netherlands,1979-01-02,Pakistan,11,5,4,2,915,0,0,3622,4,0,0
19661218-5675,Örebro county,Askersund,188201,211002,170433409,Askersund Zinkgruvan 222152560,0,0,0,0,0,0,0,0,19601005-0900,41928,331,523e,Gymnasieutbildning inom elektro- och datateknik,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1966,,24,1,Iran,1975-09,Inv,Afghanistan,1982-01-02,Poland,1979-01-02,Sweden,21,6, , ,0,0,0,1066,5,NULL,0
19401018-6158,Värmland county,Årjäng,176508,213046,424957594,Årjäng Töcksfors 371876302,0,0,0,0,0,0,0,0,19401018-6158,56778,547,523x,"Civilingenjörsutbildning inom elektroteknik, teknisk fysik och datateknik",947181925,94718192522209Forshaga740527-9574,22209,Forshaga,Värmland county,740527-9574,947181925,22209,Forshaga,Värmland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1940,,50,1,Germany,1981-06,Inv,India,1982-01-02,Brazil,1979-01-02,Russia,11,1,5,2,1092,0,0,2178,1,1,0
19530206-3007,Östergötland county,Norrköping,058119,108122,140529461,Norrköping Norsholm 105433303,2,0,0,0,1,1,0,0,19530206-3007,74959,413,529x,Övrig ingenjörsutbildning (eftergymnasial),534092263,53409226303902Åtvidaberg490222-0332,03902,Åtvidaberg,Östergötland county,490222-0332,534092263,03902,Åtvidaberg,Östergötland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1953,,37,2,Russia,1976-10,Inv,Sweden,1982-01-02,Netherlands,1979-01-02,Afghanistan,12,1,4,1,1553,0,0,2333,6,NULL,0
19740704-3529,Östergötland county,Norrköping,058119,108122,140529461,Norrköping Norsholm 105433303,0,0,0,0,0,0,0,0,19530206-3007,79424,6,640a,Veterinärutbildning,673428451,67342845177544Kinda510227-5353,77544,Kinda,Östergötland county,510227-5353,673428451,77544,Kinda,Östergötland county,1,561127-5876,535651105,26588,Norrköping,Östergötland county,1,371006-1675,497141021,99998,Ydre,Östergötland county,1,1974,,16,2,Syria,2007-07,Utv,Turkey,1982-01-02,Iraq,1979-01-02,Poland,11,1,5,2,1386,1047,938,3371,1,1,0
19680730-4561,Östergötland county,Norrköping,058119,108122,140529461,Norrköping Norsholm 105433303,0,0,0,0,0,0,0,0,19530206-3007,72907,53-55,623,Skogsbruksvetenskaplig högskoleutbildning (minst 3 år),701119384,70111938405341Valdemarsvik280716-3933,05341,Valdemarsvik,Östergötland county,280716-3933,701119384,05341,Valdemarsvik,Östergötland county,1,530127-2363,757629113,33250,Kinda,Östergötland county,1,-,-,-,0000,00,-,1968,,22,2,Finland,1985-11,Inv,Germany,1982-01-02,Brazil,1979-01-02,India,11,1,9,5,1579,1356,0,4650,6,NULL,0
19600501-2197,Östergötland county,Norrköping,058119,108122,140529461,Norrköping Norsholm 105433303,2,0,0,0,1,1,0,0,19530206-3007,36650,413,010c,Naturvetenskaplig gymnasieutbildning,363823693,36382369365760Linköping570708-4077,65760,Linköping,Östergötland county,570708-4077,363823693,65760,Linköping,Östergötland county,1,701114-3885,224973626,94528,Ödeshög,Östergötland county,1,-,-,-,0000,00,-,1960,,30,1,Romania,2018-12,Utv,Germany,1982-01-02,China,1979-01-02,Brazil,11,5,2,4,996,983,0,1979,6,NULL,0
19520902-4693,Kalmar county,Västervik,088311,105273,794138787,Västervik Västervik 245132423,1,0,0,0,0,0,0,0,19520902-4693,48786,412,5,"Minst 30 högskolepoäng inom teknik och tillverkning, ej examen",271187638,27118763867111Mönsterås630328-9375,67111,Mönsterås,Kalmar county,630328-9375,271187638,67111,Mönsterås,Kalmar county,1,520902-4693,476044355,43009,Hultsfred,Kalmar county,1,-,-,-,0000,00,-,1952,,38,1,Syria,2007-01,Inv,Finland,1982-01-02,Italy,1979-01-02,Finland,11,1,5,0,1485,1404,0,2889,7,NULL,0
19520902-9528,Kalmar county,Västervik,088311,105273,794138787,Västervik Västervik 245132423,1,0,0,0,0,0,0,0,19520902-4693,98709,6,721,Läkarutbildning,738740002,73874000215161Mörbylånga450514-4564,15161,Mörbylånga,Kalmar county,450514-4564,738740002,15161,Mörbylånga,Kalmar county,1,531211-9434,518350226,91632,Västervik,Kalmar county,1,-,-,-,0000,00,-,1952,,38,2,Poland,1979-07,Utv,Pakistan,1982-01-02,Iran,1979-01-02,Iraq,11,1,1,2,1366,1253,0,2619,4,0,0
19670409-5708,Halland county,Halmstad,138002,104015,141383526,Halmstad Simlångsdalen 123528735,0,0,0,0,0,0,0,0,19670409-5708,25961,412,8,"Minst 30 högskolepoäng inom tjänster, ej examen",852957623,85295762392989Varberg631205-9156,92989,Varberg,Halland county,631205-9156,852957623,92989,Varberg,Halland county,1,650615-1010,867265224,47173,Hylte,Halland county,1,-,-,-,0000,00,-,1967,,23,2,India,2009-07,Utv,Sweden,1982-01-02,India,1979-01-02,UK,12,5,4,4,1001,641,0,1642,5,NULL,0
19330603-0615,Jämtland county,Åre,232103,322018,208829515,Åre Mörsil 80697285,0,0,0,0,0,0,0,0,19330603-0615,91599,546,527b,"Ingenjörsutbildning inom samhällsbyggnad, byggnadsteknik och miljöteknik (eftergymnasial)",-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1933,,57,1,Sweden,1939-04,Inv,Iran,1982-01-02,Iran,1979-01-02,USA,11,6, , ,0,0,0,1815,6,NULL,0
19350420-7747,Jämtland county,Åre,232103,322018,208829515,Åre Mörsil 80697285,0,0,0,0,0,0,0,0,19330603-0615,43997,412,6,"Minst 30 högskolepoäng inom lant- och skogsbruk samt djursjukvård, ej examen",157600954,15760095496482Ragunda561002-6897,96482,Ragunda,Jämtland county,561002-6897,157600954,96482,Ragunda,Jämtland county,1,640413-2714,509693067,84209,Krokom,Jämtland county,1,-,-,-,0000,00,-,1935,,55,2,India,1958-10,Utv,Finland,1982-01-02,UK,1979-01-02,Netherlands,11,1,9,1,780,669,0,1710,6,NULL,0
19660708-1501,Västra Götaland county,Vårgårda,144206,107138,156873664,Vårgårda Östadkulle 105918611,0,0,0,0,0,0,0,0,19660708-1501,99162,323,521,Gymnasieutbildning inom verkstadsteknik,524163353,52416335399980Skara650822-7407,99980,Skara,Västra Götaland county,650822-7407,524163353,99980,Skara,Västra Götaland county,1,660708-1501,126613237,77827,Borås,Västra Götaland county,1,-,-,-,0000,00,-,1966,,24,2,USA,1968-02,Inv,Pakistan,1982-01-02,Sweden,1979-01-02,Turkey,21,1,5,2,892,600,0,2260,3,0,0
19430723-3755,Halland county,Halmstad,138014,104025,771076184,Halmstad Kvibille 250967008,0,0,1,0,0,0,0,0,19430723-3755,75222,547,145,"Ämneslärarutbildning, allmänna ämnen",410181103,41018110336066Hylte470820-5021,36066,Hylte,Halland county,470820-5021,410181103,36066,Hylte,Halland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1943,,47,1,Italy,1945-06,Utv,Pakistan,1982-01-02,Germany,1979-01-02,Germany,11,1,3,1,1058,0,0,2488,6,NULL,0
19670202-5652,Halland county,Falkenberg,138222,104072,925218574,Falkenberg Bergagård 157326829,1,0,0,0,0,0,0,0,19670202-5652,43896,4,213,"Medieproduktion, eftergymnasial utbildning",546668444,54666844467820Falkenberg570719-2732,67820,Falkenberg,Halland county,570719-2732,546668444,67820,Falkenberg,Halland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1967,,23,1,Netherlands,2008-01,Utv,Afghanistan,1982-01-02,Pakistan,1979-01-02,Romania,11,1,3,4,1129,0,0,3417,6,NULL,0
19690822-6209,Halland county,Falkenberg,138222,104072,925218574,Falkenberg Bergagård 157326829,1,0,0,0,0,0,0,0,19670202-5652,54466,551,312,Samhälls- och beteendevetenskaplig högskoleutbildning (minst 3 år),533540848,53354084803408Hylte530610-9609,03408,Hylte,Halland county,530610-9609,533540848,03408,Hylte,Halland county,1,590106-8287,256033168,18246,Halmstad,Halland county,1,471227-7874,281955695,21745,Falkenberg,Halland county,1,1969,,21,2,Poland,2000-12,Inv,Syria,1982-01-02,Turkey,1979-01-02,Iran,11,1,2,2,1546,1378,491,3415,1,1,0
19311221-0361,Jämtland county,Strömsund,231306,321043,746452597,Strömsund Rossön 69666571,1,0,0,0,0,0,0,0,19311221-0361,40598,4,840,Transportutbildning på eftergymnasial nivå,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1931,,59,2,Syria,1984-12,Inv,Turkey,1982-01-02,Netherlands,1979-01-02,USA,11,6, , ,0,0,0,2060,5,NULL,0
19720506-2572,Västerbotten county,Bjurholm,240301,321048,337362722,Bjurholm Bjurholm 7211152,0,0,0,0,0,0,0,0,19720506-2572,63806,6,623,Skogsbruksvetenskaplig högskoleutbildning (minst 3 år),471155342,47115534212187Åsele651117-8585,12187,Åsele,Västerbotten county,651117-8585,471155342,12187,Åsele,Västerbotten county,1,590117-8714,226958706,99794,Malå,Västerbotten county,1,-,-,-,0000,00,-,1972,,18,1,Denmark,2010-01,Inv,Romania,1982-01-02,Pakistan,1979-01-02,Sweden,21,1,4,2,1830,1756,0,3586,1,1,0
19750429-2940,Västerbotten county,Bjurholm,240301,321048,337362722,Bjurholm Bjurholm 7211152,0,0,0,0,0,0,0,0,19720506-2572,24344,1,010x,Folkskoleutbildning och motsvarande,611335286,61133528604151Umeå570605-7285,04151,Umeå,Västerbotten county,570605-7285,611335286,04151,Umeå,Västerbotten county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1975,,15,2,Turkey,2010-07,Utv,Poland,1982-01-02,Syria,1979-01-02,Iran,11,1,3,0,1519,0,0,4363,7,NULL,0
19281104-5630,Gävleborg county,Hudiksvall,218405,318021,820675434,Hudiksvall Sörforsa 265683074,0,0,0,0,0,0,0,0,19281104-5630,63035,324,543c,Gymnasieutbildning inom träteknik,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1928,,62,1,Denmark,1987-08,Inv,USA,1982-01-02,China,1979-01-02,Denmark,11,6, , ,0,0,0,3712,6,NULL,0
19600121-4292,Skåne county,Trelleborg,128715,101026,964360470,Trelleborg Smygehamn 283484325,0,0,1,0,0,0,0,0,19600121-4292,55570,551,481b,Naturvetenskaplig högskoleutbildning (minst 3 år),-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1960,,30,1,Sweden,1983-09,Utv,Afghanistan,1982-01-02,India,1979-01-02,China,11,6, , ,0,0,0,534,5,NULL,0
19540302-2058,Jönköping county,Mullsjö,064203,107191,172891304,Mullsjö Sandhem 158405654,0,1,0,0,0,0,0,0,19540302-2058,49362,531,44,Naturvetenskaplig högskoleutbildning (minst 3 år),-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1954,,36,1,Iraq,1987-10,Utv,China,1982-01-02,Denmark,1979-01-02,Netherlands,11,6, , ,0,0,0,4667,5,NULL,0
19580613-4705,Jönköping county,Mullsjö,064203,107191,172891304,Mullsjö Sandhem 158405654,0,1,0,0,0,0,0,0,19540302-2058,81283,412,210b,"Minst 30 högskolepoäng inom humaniora och konst, ej examen",595458675,59545867549591Habo390825-9612,49591,Habo,Jönköping county,390825-9612,595458675,49591,Habo,Jönköping county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1958,,32,2,Brazil,1958-07,Utv,Denmark,1982-01-02,Sweden,1979-01-02,Iran,21,5,5,2,1191,0,0,3812,4,0,0
19570228-6941,Gävleborg county,Ljusdal,216104,318029,852051132,Ljusdal Färila 221120998,0,0,0,0,0,0,0,0,19570228-6941,13535,55,526a,"Civilingenjörsutbildning inom maskin, fordon, farkost och industriell ekonomi",735232514,73523251408864Bollnäs611018-2670,08864,Bollnäs,Gävleborg county,611018-2670,735232514,08864,Bollnäs,Gävleborg county,1,570228-6941,693540624,91534,Bollnäs,Gävleborg county,1,330425-2419,660853986,27171,Söderhamn,Gävleborg county,1,1957,,33,2,Finland,1959-11,Utv,Germany,1982-01-02,Poland,1979-01-02,Russia,11,5,5,2,1164,732,402,4335,1,0,0
19580618-8649,Gävleborg county,Ljusdal,216104,318029,852051132,Ljusdal Färila 221120998,0,0,0,0,0,0,0,0,19570228-6941,68605,328,541,Gymnasieutbildning inom livsmedel,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1958,,32,2,UK,2005-01,Inv,Brazil,1982-01-02,USA,1979-01-02,Turkey,11,6, , ,0,0,0,1008,5,NULL,0
19710730-9435,Jämtland county,Östersund,238001,322026,272181006,"Östersund Fåker, Ålsta och Månsta 181750984",0,0,0,0,0,0,0,0,19710730-9435,42016,3,4,"Yrkesinriktad gymnasieutbildning inom naturvetenskap, matematik och IKT",838867880,83886788046662Härjedalen541211-8530,46662,Härjedalen,Jämtland county,541211-8530,838867880,46662,Härjedalen,Jämtland county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1971,,19,1,China,1974-08,Utv,Russia,1982-01-02,Iran,1979-01-02,Iraq,11,5,5,4,1749,0,0,1931,5,NULL,0
19330206-4891,Halland county,Halmstad,138005,104026,312770701,Halmstad Sennan 68479192,0,0,0,0,0,0,0,0,19330206-4891,10028,3,723w,Omvårdnads- och omsorgsutbildning på gymnasial nivå,-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1933,,57,1,Iraq,1957-12,Utv,Afghanistan,1982-01-02,Denmark,1979-01-02,Romania,11,6, , ,0,0,0,1206,6,NULL,0
19360418-1189,Halland county,Halmstad,138005,104026,312770701,Halmstad Sennan 68479192,0,0,0,0,0,0,0,0,19330206-4891,90139,557,640x,Veterinärutbildning,838511868,83851186816548Hylte260726-3108,16548,Hylte,Halland county,260726-3108,838511868,16548,Hylte,Halland county,1,350206-5055,885035754,57475,Varberg,Halland county,1,-,-,-,0000,00,-,1936,,54,2,Netherlands,1995-01,Inv,Finland,1982-01-02,Syria,1979-01-02,Iran,11,5,2,4,1683,1465,0,3148,5,NULL,0
19601113-1094,Gotland county,Gotland,098033,106058,952242873,Gotland Tofta 60384161,0,1,0,0,0,0,0,0,19601113-1094,76114,6,544a,"Civilingenjörsutbildning inom kemi- och bioteknik, material- och geoteknik",-,--0000-,-,0000,00,-,-,-,0000,00,-,-,-,-,0000,00,-,-,-,-,0000,00,-,1960,,30,1,USA,2017-09,Utv,Italy,1982-01-02,Russia,1979-01-02,USA,11,6, , ,0,0,0,1034,5,NULL,0
19421223-6301,Gävleborg county,Ljusdal,216101,318043,925728461,Ljusdal Tallåsen 175386490,1,0,0,0,1,1,0,0,19421223-6301,79551,413,580b,"Ingenjörsutbildning inom samhällsbyggnad, byggnadsteknik och miljöteknik (eftergymnasial)",342434553,34243455359532Ockelbo740101-6301,59532,Ockelbo,Gävleborg county,740101-6301,342434553,59532,Ockelbo,Gävleborg county,1,410304-2394,495400836,86223,Ljusdal,Gävleborg county,1,-,-,-,0000,00,-,1942,19550504,12,2,Romania,1945-07,Utv,Poland,1982-01-02,Iraq,1979-01-02,Romania,11,1,9,2,1446,1227,0,2673,4,1,0
19741122-3704,Gävleborg county,Ljusdal,216101,318043,925728461,Ljusdal Tallåsen 175386490,0,0,0,0,0,0,0,0,19421223-6301,26754,527,144,Lärarutbildning för grundskolans tidiga åldrar,750501260,75050126069583Ovanåker361030-3009,69583,Ovanåker,Gävleborg county,361030-3009,750501260,69583,Ovanåker,Gävleborg county,1,450408-4039,443731280,42988,Hofors,Gävleborg county,1,-,-,-,0000,00,-,1974,,16,2,Pakistan,1997-01,Inv,Poland,1982-01-02,Iraq,1979-01-02,UK,11,5,9,1,1300,713,0,5636,6,NULL,0
19570128-7785,Gävleborg county,Ljusdal,216101,318043,925728461,Ljusdal Tallåsen 175386490,0,0,0,0,0,0,0,0,19421223-6301,14435,4,726a,Fysioterapeututbildning,260208106,26020810655930Sandviken551013-0634,55930,Sandviken,Gävleborg county,551013-0634,260208106,55930,Sandviken,Gävleborg county,1,-,-,-,0000,00,-,-,-,-,0000,00,-,1957,,33,2,Romania,2019-04,Utv,Italy,1982-01-02,Romania,1979-01-02,Russia,11,5,3,2,1959,0,0,5651,1,1,0
19451113-1263,Gävleborg county,Ljusdal,216101,318043,925728461,Ljusdal Tallåsen 175386490,1,0,0,0,1,1,0,0,19421223-6301,47831,538,380,Juridisk högskoleutbildning (minst 3 år),639186875,63918687521194Söderhamn451113-1263,21194,Söderhamn,Gävleborg county,451113-1263,639186875,21194,Söderhamn,Gävleborg county,1,451113-1263,639186875,92477,Sandviken,Gävleborg county,1,-,-,-,0000,00,-,1945,,45,2,Iran,1982-09,Inv,Sweden,1982-01-02,Sweden,1979-01-02,Iran,21,1,5,2,1718,972,0,2690,1,1,0
19330118-2413,Västernorrland county,Kramfors,228201,321008,868645421,Kramfors Kramfors 321916321,0,0,0,0,0,0,0,0,19330118-2413,85202,611,312,Samhälls- och beteendevetenskaplig högskoleutbildning (minst 3 år),868464632,86846463208744Timrå440218-3916,08744,Timrå,Västernorrland county,440218-3916,868464632,08744,Timrå,Västernorrland county,1,370805-1087,235497012,68101,Sundsvall,Västernorrland county,1,-,-,-,0000,00,-,1933,,57,1,Sweden,1983-04,Utv,Russia,1982-01-02,Finland,1979-01-02,India,11,5,4,0,1410,1114,0,3935,7,NULL,0
